mrna,lncrna
799,1475
799,52
799,30
799,497
799,1375
799,55
799,1037
799,1363
799,915
799,31
799,1184
799,219
799,518
799,1073
799,5
799,1338
799,282
799,781
799,589
799,1325
799,1166
799,4
799,1383
799,1263
799,484
799,319
799,1230
799,854
799,640
799,1364
799,1411
799,98
799,203
799,987
799,1391
799,687
799,359
799,1167
799,1246
799,760
799,292
797,1470
797,820
797,786
797,788
797,1427
797,606
797,1015
797,882
797,53
797,787
797,921
797,54
797,121
797,1050
797,561
797,1495
797,1109
797,773
797,850
797,59
797,1215
797,188
797,796
797,1140
797,185
797,522
797,1142
797,1101
797,916
797,755
797,1393
797,66
797,1128
797,138
797,322
797,445
797,789
797,1048
797,1475
797,52
797,30
797,1300
797,497
797,287
797,1375
797,55
797,1037
797,1363
797,31
797,764
797,149
797,1184
797,1225
797,219
797,282
797,781
797,589
797,1325
797,1166
797,615
797,996
797,964
797,484
797,854
797,1364
797,321
797,98
797,687
797,359
898,1003
898,362
898,39
898,1059
898,1470
898,1242
898,254
898,820
898,786
898,220
898,788
898,1259
898,1206
898,0
898,959
898,588
898,1321
898,606
898,146
898,288
898,937
898,532
898,1196
898,581
898,1253
898,850
898,917
898,559
898,875
548,1470
548,820
548,786
548,788
548,1259
548,959
548,1427
548,606
548,288
548,1015
548,882
548,532
548,53
548,787
548,921
548,54
548,121
548,1050
548,614
548,561
548,1495
548,1109
548,773
548,603
548,850
548,494
548,59
548,1215
548,917
548,796
548,1140
548,185
548,522
548,1142
548,1101
548,916
548,755
548,740
548,1393
548,66
548,1128
548,138
548,322
548,445
548,789
548,1048
548,1475
548,52
548,30
548,1300
548,497
548,287
548,1375
548,55
548,1037
548,1363
548,915
548,31
548,764
548,149
548,1184
548,219
548,518
548,1073
548,1338
548,282
548,781
548,589
548,1325
548,1166
548,615
548,4
548,996
548,1263
548,964
548,484
548,319
548,1230
548,854
548,1364
548,1295
548,1411
548,98
548,203
548,950
548,687
548,292
366,1003
366,362
366,39
366,1059
366,1470
366,1242
366,254
366,820
366,220
366,1259
366,1206
366,0
366,959
366,588
366,1321
366,598
366,146
366,288
366,937
366,532
366,1196
366,200
366,581
366,1253
366,850
366,150
366,917
366,685
366,559
366,875
366,710
2322,1470
2322,820
2322,786
2322,788
2322,1427
2322,606
2322,1015
2322,882
2322,53
2322,787
2322,921
2322,54
2322,121
2322,1050
2322,614
2322,561
2322,1495
2322,1109
2322,145
2322,773
2322,603
2322,850
2322,494
2322,59
2322,1215
2322,188
2322,796
2322,1140
2322,185
2322,522
2322,476
2322,1142
2322,1101
2322,916
2322,755
2322,740
2322,1393
2322,66
2322,1128
2322,138
2322,322
2322,445
2322,789
2322,1048
2322,1475
2322,52
2322,30
2322,1300
2322,497
2322,1375
2322,55
2322,1037
2322,1363
2322,915
2322,31
2322,764
2322,149
2322,568
2322,1184
2322,1225
2322,219
2322,123
2322,518
2322,1073
2322,1387
2322,1338
2322,282
2322,238
2322,781
2322,589
2322,1325
2322,1166
2322,615
2322,4
2322,1022
2322,996
2322,1383
2322,1263
2322,884
2322,964
2322,189
2322,461
2322,484
2322,319
2322,1230
2322,854
2322,1462
2322,144
2322,932
2322,640
2322,483
2322,1450
2322,1364
2322,635
2322,1295
2322,1411
2322,203
2322,950
2322,1249
2322,687
2322,769
2322,359
2322,1167
2322,256
2322,923
2322,760
2322,1144
2322,292
2322,215
2322,224
2322,1152
1575,1003
1575,362
1575,39
1575,1059
1575,1470
1575,1242
1575,254
1575,220
1575,1259
1575,1206
1575,0
1575,959
1575,588
1575,1321
1575,598
1575,146
1575,937
1575,532
1575,200
1575,581
1575,1253
1575,559
213,1470
213,820
213,786
213,220
213,788
213,1259
213,1206
213,959
213,1427
213,606
213,146
213,288
213,1015
213,882
213,532
213,53
213,787
213,921
213,54
213,121
213,1050
213,614
213,561
213,1495
213,1109
213,145
213,773
213,425
213,603
213,850
213,59
213,1215
213,188
213,917
213,1140
213,185
213,476
213,1142
213,1101
213,916
213,755
213,1393
213,1128
213,138
213,322
213,445
213,1048
213,1475
213,52
213,1300
213,497
213,681
213,287
213,55
213,1037
213,1363
213,915
213,149
213,1184
213,1225
213,219
213,1073
213,282
213,589
213,484
213,359
213,256
1950,1003
1950,362
1950,39
1950,1059
1950,1470
1950,1242
1950,254
1950,220
1950,1259
1950,1206
1950,959
1950,1321
1950,146
1950,937
1950,532
1950,559
1950,875
645,1003
645,362
645,39
645,1059
645,1470
645,1242
645,254
645,220
645,1259
645,1206
645,959
645,606
645,146
645,937
645,532
645,559
1228,1470
1228,820
1228,786
1228,788
1228,1259
1228,1427
1228,606
1228,288
1228,1015
1228,882
1228,532
1228,53
1228,787
1228,921
1228,54
1228,121
1228,1050
1228,614
1228,561
1228,1495
1228,1109
1228,773
1228,425
1228,603
1228,850
1228,494
1228,59
1228,1215
1228,188
1228,917
1228,796
1228,1140
1228,185
1228,522
1228,476
1228,1142
1228,1101
1228,916
1228,755
1228,740
1228,444
1228,1393
1228,66
1228,1128
1228,138
1228,322
1228,445
1228,789
1228,1048
1228,1475
1228,52
1228,30
1228,1300
1228,497
1228,681
1228,967
1228,287
1228,1375
1228,55
1228,1037
1228,1363
1228,915
1228,31
1228,785
1228,149
1228,568
1228,1184
1228,1225
1228,219
1228,123
1228,518
1228,1073
1228,1387
1228,1338
1228,282
1228,238
1228,781
1228,589
1228,1325
1228,1166
1228,615
1228,4
1228,1022
1228,765
1228,1383
1228,1263
1228,884
1228,964
1228,189
1228,461
1228,484
1228,319
1228,1230
1228,854
1228,527
1228,65
1228,1462
1228,144
1228,932
1228,640
1228,483
1228,1450
1228,1364
1228,635
1228,1295
1228,1105
1228,1149
1228,1411
1228,173
1228,98
